Blue Mountain, Jamaica, Fruity
Lavazza, Colombia, Strong
Folgers, America, Smokey
Kona, Hawaii, Rich
Sumatra Mandheling, Indonesia, Earthy
Ethiopian Yirgacheffe, Ethiopia, Floral
Guatemalan Antigua, Guatemala, Spicy
Costa Rican Tarrazu, Costa Rica, Nutty
Brazilian Santos, Brazil, Chocolatey
Kenyan AA, Kenya, Bright
Nicaraguan Matagalpa, Nicaragua, Balanced
Honduran Marcala, Honduras, Smooth
Peruvian Andes, Peru, Clean
Panamanian Boquete, Panama, Delicate
Indian Monsooned Malabar, India, Pungent
Vietnamese Robusta, Vietnam, Intense
Tanzanian Peaberry, Tanzania, Tangy
Yemeni Mocha, Yemen, Exotic
Mexican Altura, Mexico, Mellow
Rwandan Bourbon, Rwanda, Sweet
Ugandan Bugisu, Uganda, Bitter
Bolivian Colonial Caranavi, Bolivia, Robust
Ecuadorian Galápagos, Ecuador, Zesty
Colombian Supremo, Colombia, Velvety
Javanese Java Arabica, Indonesia, Velvety
Zimbabwean Pinnacle, Zimbabwe, Rich
Thai Doi Chaang, Thailand, Complex
Laotian Bolaven Plateau, Laos, Aromatic
El Salvadorian Pacamara, El Salvador, Full-bodied
Panamanian Geisha, Panama, Floral
Costa Rican Naranjo, Costa Rica, Bright
Hawaiian Maui Mokka, Hawaii, Mellow
Dominican Barahona, Dominican Republic, Nutty
Haitian Blue, Haiti, Smooth
Puerto Rican Yauco Selecto, Puerto Rico, Rich
Jamaican Blue Mountain, Jamaica, Exquisite
Australian Skybury, Australia, Unique
Papua New Guinean Kimel, Papua New Guinea, Earthy
Sulawesi Toraja, Indonesia, Robust
Timor-Leste Organic, Timor-Leste, Organic
Ethiopian Sidamo, Ethiopia, Citrusy
Malawi Peaberry, Malawi, Bright
Zambian AA, Zambia, Crisp
